VERB	GOING_TO	WILL
apply	3	5
ask	3	8
attend	1	9
be	77	1285
benefit	1	7
buy	3	23
cancel	1	2
cause	1	36
change	5	24
clarify	1	4
come	5	40
compare	5	9
continue	4	44
cry	1	2
deal	2	1
demonstrate	1	4
depend	2	7
describe	7	4
die	1	21
disappear	1	8
discuss	5	14
do	11	39
drink	2	1
eat	4	3
encounter	1	4
end	2	14
enhance	1	9
exhibit	1	4
experience	1	7
explain	10	16
face	3	27
fall	1	3
fight	1	2
find	1	72
finish	1	11
get	5	161
give	8	59
go	11	78
graduate	3	4
hang	1	1
happen	6	43
harm	1	2
hate	2	2
have	15	254
help	2	129
increase	4	59
introduce	1	6
join	1	1
keep	2	27
kill	3	8
last	5	2
learn	2	22
leave	2	12
live	3	25
look	2	18
lose	6	39
love	2	5
make	4	117
marry	2	7
miss	3	10
monitor	3	1
need	3	31
occur	1	4
open	3	5
order	2	1
pay	1	25
perform	2	2
propose	1	2
protect	2	8
pursue	2	6
put	2	12
raise	1	4
read	1	5
replace	1	2
retire	3	3
rise	1	9
say	6	10
search	3	1
see	7	58
send	5	6
share	1	2
spend	3	39
start	1	23
stay	21	29
stop	8	13
study	8	12
succeed	1	13
surpass	2	2
take	4	49
talk	14	16
teach	1	8
tell	4	20
think	1	23
travel	2	16
try	3	40
turn	1	4
use	4	27
visit	3	16
want	1	4
watch	3	5
write	6	10
