SC_WLL_Plvl,nwords,cl_av_deps,cl_ndeps_std_dev,acad_av_construction_freq,acad_av_construction_freq_type,acad_av_construction_freq_stdev
SC_WLL_p3,146,2.736842105,0.784192865,85391.73684,63999.57143,93673.77153
SC_WLL_p3,162,2.807692308,2.20173412,142801.5,119586,193372.8949
SC_WLL_p3,186,2.424242424,0.779677596,158112.7273,127547.381,198904.835
SC_WLL_p3,578,2.72826087,1.225660965,144412.3614,73105.29825,220968.8923
SC_WLL_p3,1081,2.44966443,1.101775514,160173.854,95955.77215,213503.2067
SC_WLL_p3,271,2.75,1.170178697,110540.439,83261.57143,163874.3045
SC_WLL_p3,366,2.586956522,1.226094665,165599.6667,153554.641,252336.4155
SC_WLL_p3,106,2.357142857,0.717848259,162055,150161.8333,188826.9429
SC_WLL_p3,577,2.680412371,1.135612753,123016.2527,96236.69565,198710.192
SC_WLL_p3,616,2.909090909,1.318791221,94272.78161,56864.41176,134116.4941
SC_WLL_p3,217,2.432432432,0.754823786,138180.1667,112067.9048,168250.2207
SC_WLL_p3,366,2.741935484,1.163081057,119554.1754,92518.86957,164173.8075
SC_WLL_p3,277,2.283018868,1.088141197,114065.9412,91429.325,165724.802
SC_WLL_p3,137,2.6,1.356465997,200244.8182,167688.6,236270.8091
SC_WLL_p3,183,2.419354839,0.9426864,150550.0968,109439.5385,208035.7949
SC_WLL_p3,249,2.342105263,0.618840843,153253.3158,128877.4516,182516.4143
SC_WLL_p3,132,2.636363636,1.188790621,107165,79684.80952,204842.6441
SC_WLL_p3,138,2.95,1.395528574,103620.4706,92325.25,175167.5973
SC_WLL_p3,334,2.523809524,1.110657504,154249.5085,122263.9796,219517.6907
SC_WLL_p3,119,2.722222222,0.931280812,142557.6111,126140.9286,179884.784
SC_WLL_p3,90,2.615384615,0.835598499,92712.08333,58150.66667,91261.8354
SC_WLL_p3,143,3,1.17260394,115305.9333,108506.2308,135753.0195
SC_WLL_p3,124,2.636363636,1.262949454,140594.7143,125463.2105,213437.9366
SC_WLL_p3,184,2.419354839,0.97630619,132310.2903,89604.28,183362.2737
SC_WLL_p3,246,2.486486486,1.243830649,131440.5588,123077.8667,173999.7985
SC_WLL_p3,179,2.323529412,0.991747959,152667.4063,119061.68,202415.1252
SC_WLL_p3,263,2.35,0.792148976,171893.4872,148099.2581,192804.8923
SC_WLL_p3,144,2.692307692,1.294046449,152030.8696,127839.1364,206935.1442
SC_WLL_p3,133,2.65,1.061838029,104269.8947,83084.70588,169263.7552
SC_WLL_p3,155,2.583333333,1.114924013,187638.4091,174636.6111,229713.5251
SC_WLL_p3,217,2.78125,1.4944559,160534.9286,162005.1304,214432.6681
SC_WLL_p3,72,2.5,0.670820393,151080.8,115795.1429,121215.3547
SC_WLL_p3,349,2.6,1.037479463,69920.375,51123.27907,104825.0262
SC_WLL_p3,145,2.583333333,1.114924013,108048.4167,82996.21739,198955.5508
SC_WLL_p3,272,2.266666667,1.083205121,157958.5526,160618.8286,243777.3647
SC_WLL_p3,255,3.115384615,1.250443708,71620.14286,76027.89474,153076.36
SC_WLL_p3,183,2.24,0.949947367,156623.7273,143851.7,231340.8926
SC_WLL_p3,308,2.117647059,1.13149318,181810.8444,179480.5455,255300.8642
SC_WLL_p3,347,2.425925926,0.954557331,86319.4,70259.34091,134436.6624
SC_WLL_p3,229,2.976190476,1.204912469,91277.62162,64556,140821.0283
SC_WLL_p3,219,2.833333333,1.067187373,136150.6154,110296.7619,169730.0079
SC_WLL_p3,206,2.390243902,1.056410138,185771.3846,172653.5526,244714.634
SC_WLL_p3,296,2.796296296,1.296428565,116008.25,105750.0233,199741.3083
SC_WLL_p3,185,2.580645161,1.338612511,148748.7143,140277.1538,210719.513
SC_WLL_p3,220,2.368421053,0.957547653,112816.6486,110488.0667,211741.9679
SC_WLL_p3,206,2.527777778,0.985621944,99457.88235,57408.25806,198994.5475
SC_WLL_p3,84,2.318181818,0.873153305,139296.7273,132389.7143,231470.4503
SC_WLL_p3,434,2.728813559,1.038749386,108735.8214,91185.1875,144603.0041
SC_WLL_p3,625,2.552380952,1.137925869,141222.2065,118693.2987,231519.5874
SC_WLL_p3,464,3,1.503963019,137710.974,135202.1364,223571.6896
SC_WLL_p3,521,2.247191011,1.183034556,186033.2093,162869.7794,250994.9991
SC_WLL_p3,437,3.147058824,1.320257393,119818.4211,102116.5,170857.5679
SC_WLL_p3,376,2.275862069,1.517633178,125395.9818,86881.19149,226329.0524
SC_WLL_p3,369,2.380952381,0.898474394,143846.3333,98485.09615,223232.1888
SC_WLL_p3,639,2.436170213,1.341311764,149537.7619,134576.4267,237934.1871
SC_WLL_p3,144,2.636363636,1.067940011,66466.88889,68942.3125,94515.64011
SC_WLL_p3,540,2.349056604,0.990925362,142420.7172,125459.961,226447.9971
SC_WLL_p3,296,2.796296296,1.338595583,123205.4167,113784.0698,202438.7004
SC_WLL_p3,191,2.75,0.968245837,97590.03448,79959.19231,153541.8558
SC_WLL_p3,253,2.545454545,1.182983109,169148.6333,172005.2069,243987.9439
SC_WLL_p3,278,2.575757576,1.015942704,120183.4444,121486.3462,212285.1445
SC_WLL_p3,216,2.275,0.805838073,116291.9,115826.7333,205273.1564
SC_WLL_p3,159,2.64,1.091054536,138839.0909,128548.7059,201276.001
SC_WLL_p3,265,2.304347826,1.080852426,60616.5,51521.89474,97908.82752
SC_WLL_p3,202,2.541666667,1.77902517,116963.15,144107.6923,194066.0082
SC_WLL_p3,216,2.5,1.952562419,70413.72414,73531.45833,86964.18358
SC_WLL_p3,264,2.142857143,1.290467405,147507.871,179139.75,200492.6172
SC_WLL_p3,226,2.27027027,1.030577079,117471.9167,112704.1429,213910.3009
SC_WLL_p3,224,2.375,1.176594663,105424.0541,88813.54839,187258.623
SC_WLL_p3,176,2.029411765,1.150071459,153327.7333,147350.36,186114.6151
SC_WLL_p3,192,2.178571429,1.001911439,159795.6667,149831.8,234743.6259
SC_WLL_p3,118,3,1.328422328,44197.46667,44486.35714,90954.26717
SC_WLL_p3,154,2.533333333,1.30979218,175443.6296,155559.375,238752.8957
SC_WLL_p3,125,2.72,1.077775487,96823.78261,90615.13636,192601.6885
SC_WLL_p3,45,3,0.755928946,60376.66667,60376.66667,82501.51562
SC_WLL_p3,67,1.928571429,0.798595706,137711.3333,148075.6,189541.9018
SC_WLL_p3,78,2.636363636,1.149919149,189406.6,184516.8889,210148.2443
SC_WLL_p3,215,2.8,1.036477551,42863.87879,42727.3871,121270.9555
SC_WLL_p3,108,2.933333333,1.06249183,51655.07143,51655.07143,94744.3517
SC_WLL_p3,212,2.444444444,0.7617394,68639.27273,59190.42857,136758.9013
SC_WLL_p3,57,2.7,0.781024968,67154,67154,120956.6867
SC_WLL_p3,89,2.125,0.59947894,188510.8125,182121.9333,232062.0934
SC_WLL_p3,106,2.047619048,0.652919486,190875.0476,194161.6842,232419.4511
SC_WLL_p3,40,2.333333333,0.471404521,132753,132753,166372.8065
SC_WLL_p3,76,2.733333333,1.123486636,80944.28571,80120,100408.6655
SC_WLL_p3,123,2.260869565,0.845314004,87912.56522,87912.56522,163395.3926
SC_WLL_p3,131,2.956521739,0.999054373,40417.77273,42314.71429,76781.14637
SC_WLL_p3,97,2.764705882,0.54550697,86123.76471,91719.53333,172197.5307
SC_WLL_p3,52,2.5,0.763762616,83771.75,83606.09091,183609.0919
SC_WLL_p3,86,3.142857143,1.186660552,99515.38462,99515.38462,180024.2065
SC_WLL_p3,65,2.4,0.8,138316,148050.0714,231718.0336
SC_WLL_p3,69,2.294117647,0.748701298,128671.6471,140027.9333,220087.3402
SC_WLL_p3,66,2.714285714,0.795394909,71670.14286,70599.07692,172504.5008
SC_WLL_p3,72,2.4,0.8,92218.73333,92691.92857,181862.6266
SC_WLL_p3,102,2.333333333,0.56343617,78395.95238,63947.5,122516.3942
SC_WLL_p3,130,2.444444444,1.257078722,133813.7083,83774.13636,219244.5883
SC_WLL_p3,92,2.476190476,0.793968191,89214.2381,89380.45,158646.554
SC_WLL_p3,64,2.5,0.731925055,81879.14286,81570.61538,171727.1256
SC_WLL_p3,70,2.5,0.626783171,89036.42857,89036.42857,189379.4798
SC_WLL_p3,235,2.69047619,1.281518728,130081.5526,95418.33333,191156.468
SC_WLL_p3,178,2.625,1.340475662,162495.6786,118619.7391,194622.2573
SC_WLL_p3,106,2.117647059,0.962982679,91762.625,78923.86667,113064.5532
SC_WLL_p3,145,2.48,0.89977775,111165.5833,68272.84211,126446.8213
SC_WLL_p3,33,2.2,0.748331477,53977.5,53977.5,35045.30492
SC_WLL_p3,36,3.2,1.166190379,13127.8,13127.8,16402.83599
SC_WLL_p3,99,2.444444444,0.955813919,165497.7778,165497.7778,228723.2245
SC_WLL_p3,45,3.142857143,1.124858268,181773.5,181773.5,290208.9724
SC_WLL_p3,58,2.357142857,1.108869621,178349.2308,178349.2308,238022.0347
SC_WLL_p3,22,1.8,0.748331477,43544.6,43544.6,34078.86486
SC_WLL_p3,42,2.571428571,1.399708424,176367,176367,256157.8909
SC_WLL_p3,53,2.454545455,1.07565087,230867.3636,230867.3636,295598.7679
SC_WLL_p3,53,3,1.247219129,158232.8333,158232.8333,238363.0535
SC_WLL_p3,68,2.5,0.731925055,158198.7143,182104.6667,205814.8013
SC_WLL_p3,100,2.5,0.935414347,59051.6875,59051.6875,82347.34822
SC_WLL_p3,165,3.181818182,1.153507049,91450.19048,67789.55556,115569.3482
SC_WLL_p3,154,2.576923077,1.044143997,98317.08,84355.17391,153548.9479
SC_WLL_p3,299,2.75,1.070436048,99727.775,74809.17143,166023.4734
SC_WLL_p3,42,3.166666667,1.213351648,20866.75,20866.75,20683.95742
SC_WLL_p3,205,3.033333333,1.328742095,87699.73913,87699.73913,125778.462
SC_WLL_p3,401,2.529411765,0.882352941,110516.2656,110182.7966,175406.1886
SC_WLL_p3,211,2.857142857,0.952976005,88299.52,39793.36842,110639.3861
SC_WLL_p3,126,3.4,1.496662955,6352.083333,6352.083333,10729.66238
SC_WLL_p3,88,3.285714286,1.220571964,115749.75,115749.75,195885.811
SC_WLL_p3,246,2.58974359,0.925921543,158584.1944,140835.7419,219702.1551
SC_WLL_p3,167,2.458333333,0.865022479,122002.2273,116696.9048,176114.442
SC_WLL_p3,149,2.538461538,0.929465075,167986.72,108762.8571,133770.8088
SC_WLL_p3,310,2.418604651,0.970076912,180464.35,163240.8235,228945.2153
SC_WLL_p3,138,2.590909091,0.834434534,110204,101857.1111,168720.2389
SC_WLL_p3,242,2.416666667,0.862006703,134111.2979,101246.3333,162971.8157
SC_WLL_p3,414,2.639344262,1.145665915,172284.3393,118623.0455,237002.066
SC_WLL_p3,197,2.333333333,0.912870929,135864.5758,95272.24,174922.4118
SC_WLL_p3,228,2.314285714,0.820154291,212545.7273,196522.375,221819.811
SC_WLL_p3,128,2.28,0.530659966,197156.24,163846.9333,147752.2159
SC_WLL_p3,188,2.676470588,1.104019081,130693.0625,114199.7143,200573.0004
SC_WLL_p3,92,2.733333333,0.853749898,115755.1538,84834.77778,109565.0238
SC_WLL_p3,68,2.4,0.663324958,34664.8,34664.8,83351.00032
SC_WLL_p3,78,2.9,1.577973384,110632,110632,137877.4063
SC_WLL_p3,441,2.46969697,1.196202286,78427.05,57035.95833,110283.4356
SC_WLL_p3,92,2.722222222,0.931280812,62068,51988.82353,90430.5451
SC_WLL_p3,65,2.25,0.829156198,158330.5,144329,208940.5623
SC_WLL_p3,158,3.034482759,1.401544926,81577.56522,67763.28571,163666.0794
SC_WLL_p3,62,1.846153846,0.863459397,184505.0769,148038.8182,275404.3281
SC_WLL_p3,22,2,0.707106781,284995.25,284995.25,267230.1418
SC_WLL_p3,25,2.25,1.089724736,142696,142696,136787.1594
SC_WLL_p3,40,2.333333333,0.745355993,224585,224585,243965.6629
SC_WLL_p3,9,2,0,233414,233414,0
SC_WLL_p3,123,3.047619048,1.290115922,83401.82353,83401.82353,173406.0366
SC_WLL_p3,136,2.05,0.920597632,107594.5,107096.5833,160270.2954
SC_WLL_p3,86,2.882352941,0.75788816,82484.75,85012.21429,103417.2115
SC_WLL_p3,62,1.928571429,0.593330276,140475,149572.5,225893.4325
SC_WLL_p3,103,2.461538462,0.929465075,119020.2308,98221.36364,186888.987
SC_WLL_p3,79,2.058823529,0.937492791,79916.94118,79916.94118,161167.1348
SC_WLL_p3,124,2.333333333,0.816496581,181809.8824,159838.2857,213296.2172
SC_WLL_p3,62,2.555555556,0.831479419,137962.7778,137962.7778,164008.7326
SC_WLL_p3,90,2.666666667,1.011050059,153626.8571,153626.8571,202600.688
SC_WLL_p3,61,2.666666667,0.471404521,60579.75,68323.8,90934.4937
SC_WLL_p3,132,2.217391304,0.976084536,246993.5909,220048.5263,267640.9646
SC_WLL_p3,73,2.333333333,0.471404521,78633.5,72967.33333,112300.5541
SC_WLL_p3,180,2.685714286,1.213529176,90743.72727,86284.54839,171345.8662
SC_WLL_p3,115,2.636363636,0.710022698,89164.35,81572.26316,116200.7558
SC_WLL_p3,98,2.388888889,1.296957503,161998.4667,161998.4667,229651.068
SC_WLL_p3,154,2.535714286,1.349130483,209443.4,209443.4,280626.6818
SC_WLL_p3,261,2.571428571,1.072221929,93029.26316,68115.28571,185307.378
SC_WLL_p3,81,2.0625,0.826797285,208942,174991.5,288696.9412
SC_WLL_p3,118,2.6,1.095445115,168285.2,168285.2,263405.0921
SC_WLL_p3,115,2.454545455,1.339174533,177140.3684,177140.3684,267189.6311
SC_WLL_p3,107,2.941176471,1.392018772,14303.66667,14148.35714,15359.8809
SC_WLL_p3,108,3,1.17260394,93227.57143,78526.30769,130033.5086
SC_WLL_p3,114,2.5,1.258305739,161386.2941,121726.9333,252744.9943
SC_WLL_p3,92,2.55,1.395528574,100317.2778,100317.2778,209810.8683
SC_WLL_p3,97,2.421052632,1.13859514,178270.75,178270.75,230601.2577
SC_WLL_p3,136,2.692307692,0.866879052,102035.6087,102035.6087,190172.1565
SC_WLL_p3,134,2.576923077,1.006634794,116817.16,93174.16667,217578.4917
SC_WLL_p3,137,2.692307692,0.866879052,99821.26087,99821.26087,188324.0137
SC_WLL_p3,133,2.72,0.825590698,91809.70833,91809.70833,155708.9186
SC_WLL_p3,100,2.166666667,0.957427108,251437.6111,251437.6111,282005.3983
SC_WLL_p3,140,2.62962963,0.867014808,87528.69231,79656.08,144206.0076
SC_WLL_p3,139,2.730769231,0.901182655,76156.92,76156.92,142350.6962
SC_WLL_p3,139,2.62962963,0.867014808,84331.88462,76331.4,145131.7739
SC_WLL_p3,133,2.72,0.775628777,63276.83333,53665.21739,85476.46746
SC_WLL_p3,141,2.62962963,0.867014808,73672.73077,73672.73077,140150.2906
SC_WLL_p3,138,2.62962963,0.867014808,81020.73077,72887.8,146031.4041
SC_WLL_p3,81,2.388888889,0.890623308,197730.9444,204327.2353,250975.0896
SC_WLL_p3,31,2.714285714,1.030157507,125287.5,125287.5,135773.1531
SC_WLL_p3,30,2.111111111,0.566557724,161999.2222,161999.2222,220357.9203
SC_WLL_p3,98,2.642857143,0.717848259,58897.5,61345.08333,94183.89934
SC_WLL_p3,98,3,0.745355993,77385.47059,59261.75,120556.3251
SC_WLL_p3,92,2.363636364,0.710022698,114624.4091,117472.4444,192140.3526
SC_WLL_p3,141,2.740740741,0.842948643,52542.8,54140.66667,69860.32847
SC_WLL_p3,139,2.703703704,0.895040442,76326.28,78915.125,142286.9171
SC_WLL_p3,99,2.705882353,1.176470588,20912.11765,20912.11765,31155.83788
SC_WLL_p3,65,2.416666667,0.953793595,192458.5,209769.3636,290796.448
SC_WLL_p3,141,2.62962963,0.867014808,84331.88462,76331.4,145131.7739
SC_WLL_p3,138,2.62962963,0.867014808,81303.53846,73181.92,145887.1714
SC_WLL_p3,116,2.428571429,1.217782081,141923.8947,141923.8947,240830.4547
SC_WLL_p3,159,2.62962963,1.364853761,208854.4167,208854.4167,288378.2509
SC_WLL_p3,140,2.62962963,0.908729196,86129.64,77870.70833,147362.9673
SC_WLL_p3,86,2.428571429,1.049781318,192615.1667,163695.5294,275491.7514
SC_WLL_p3,83,2.588235294,1.374508405,152890.75,162987.4,257414.4203
SC_WLL_p3,32,2,0,285741.1667,269416.4,132007.6492
SC_WLL_p3,141,2.666666667,0.816496581,60769.04,51453.41667,82982.72412
SC_WLL_p3,138,2.666666667,0.816496581,57619.56,48172.70833,83462.31462
SC_WLL_p3,81,2.684210526,0.653140718,75640.22222,69800.125,93821.85396
SC_WLL_p3,141,2.62962963,0.867014808,84331.88462,76331.4,145131.7739
SC_WLL_p3,5,2,0,367365,367365,0
SC_WLL_p3,5,2,0,367365,367365,0
SC_WLL_p3,5,2,0,367365,367365,0
SC_WLL_p3,7,2,0,11206,11206,0
SC_WLL_p3,4,2,0,367365,367365,0
SC_WLL_p3,5,2,0,367365,367365,0
SC_WLL_p3,6,2,0,23234,23234,0
SC_WLL_p3,7,2,0,11573,11573,0
SC_WLL_p3,5,2,0,367365,367365,0
SC_WLL_p3,6,2,0,367365,367365,0
SC_WLL_p3,6,2,0,23234,23234,0
SC_WLL_p3,5,2,0,367365,367365,0
SC_WLL_p3,6,3,0,7224,7224,0
SC_WLL_p3,5,2,0,367365,367365,0
SC_WLL_p3,5,2,0,367365,367365,0
SC_WLL_p3,6,1.5,0.5,385069.5,385069.5,299179.5
SC_WLL_p3,5,2,0,367365,367365,0
SC_WLL_p3,5,2,0,367365,367365,0
SC_WLL_p3,7,2,0,367365,367365,0
SC_WLL_p3,7,2,0,2765,2765,0
SC_WLL_p3,6,2,0,23234,23234,0
SC_WLL_p3,5,2,0,23234,23234,0
SC_WLL_p3,5,2,0,367365,367365,0
SC_WLL_p3,6,3,0,1336,1336,0
SC_WLL_p3,5,2,0,23234,23234,0
SC_WLL_p3,5,2,0,23234,23234,0
SC_WLL_p3,5,2,0,367365,367365,0
SC_WLL_p3,5,2,0,23234,23234,0
SC_WLL_p3,6,2,0,23234,23234,0
SC_WLL_p3,5,2,0,367365,367365,0
SC_WLL_p3,4,2,0,367365,367365,0
SC_WLL_p3,4,2,0,367365,367365,0
SC_WLL_p3,4,2,0,367365,367365,0
SC_WLL_p3,5,2,0,367365,367365,0
SC_WLL_p3,5,2,0,367365,367365,0
SC_WLL_p3,7,2,0,7983,7983,0
SC_WLL_p3,7,3,0,1336,1336,0
SC_WLL_p3,6,2,0,11478,11478,0
SC_WLL_p3,10,3,0,844,844,0
SC_WLL_p3,11,5,0,0,0,0
SC_WLL_p3,7,2,0,2309,2309,0
SC_WLL_p3,6,2,0,23234,23234,0
SC_WLL_p3,6,2,0,367365,367365,0
SC_WLL_p3,5,2,0,367365,367365,0
SC_WLL_p3,4,2,0,367365,367365,0
SC_WLL_p3,6,2,0,367365,367365,0
SC_WLL_p3,5,2,0,23234,23234,0
SC_WLL_p3,7,2,0,23234,23234,0
SC_WLL_p3,7,2,0,367365,367365,0
SC_WLL_p3,9,2,0,43160.5,43160.5,42729.5
SC_WLL_p3,5,2,0,367365,367365,0
SC_WLL_p3,5,2,0,2765,2765,0
SC_WLL_p3,6,3,0,1725,1725,0
SC_WLL_p3,5,2,0,367365,367365,0
SC_WLL_p3,6,2,0,23234,23234,0
SC_WLL_p3,6,2,0,23234,23234,0
SC_WLL_p3,7,2,0,2024,2024,1686
SC_WLL_p3,4,2,0,367365,367365,0
SC_WLL_p3,8,2,0,8771,8771,0
SC_WLL_p3,5,2,0,367365,367365,0
SC_WLL_p3,7,2,1,342571,342571,341678
SC_WLL_p3,6,3,0,5090,5090,0
SC_WLL_p3,5,2,0,367365,367365,0
SC_WLL_p3,6,2,0,2309,2309,0
SC_WLL_p3,6,2,0,11206,11206,0
SC_WLL_p3,7,3,0,33624,33624,0
SC_WLL_p3,8,2,1,342571,342571,341678
SC_WLL_p3,93,2.611111111,0.825892708,140038.1176,151683.5714,215551.4524
SC_WLL_p3,129,2.375,1.033299731,138391.8261,126916.8571,201017.5597
SC_WLL_p3,194,2.352941176,1.053910169,199754.871,187608.4583,235614.624
SC_WLL_p3,159,2.172413793,0.912328038,150230.6552,142182.6296,197853.6687
SC_WLL_p3,5,2,0,442,442,0
SC_WLL_p3,7,2,0,367365,367365,0
SC_WLL_p3,8,2,0,367365,367365,0
SC_WLL_p3,68,2.538461538,0.929465075,105614,107282.3333,192458.6387
SC_WLL_p3,74,2.461538462,1.008836696,135905.8333,86056.45455,246978.3639
SC_WLL_p3,106,2.12,0.815843122,114742.76,98342.95238,215541.4764
SC_WLL_p3,138,2.148148148,1.043629837,183730.9615,181743.64,240019.8686
SC_WLL_p3,248,2.84375,1.325456879,105081.1786,77582.43478,149220.2104
SC_WLL_p3,184,2.724137931,1.20047553,146612.3333,146612.3333,221831.7528
SC_WLL_p3,141,3,0.960768923,57401.90909,47125.66667,90427.83432
SC_WLL_p3,185,2.3,0.971253486,96170.1,80370,119007.0671
SC_WLL_p3,7,3,0,5090,5090,0
SC_WLL_p3,3,0,0,0,0,0
SC_WLL_p3,9,1.666666667,0.471404521,285343,285343,282069.1377
SC_WLL_p3,17,3.5,2.5,13869,13869,0
SC_WLL_p3,3,0,0,0,0,0
SC_WLL_p3,3,0,0,0,0,0
SC_WLL_p3,16,2.5,0.866025404,93884.25,93884.25,115107.7753
SC_WLL_p3,12,4,1,4989,4989,0
SC_WLL_p3,7,2,0,63035.5,63035.5,59325.5
SC_WLL_p3,9,1.333333333,0.471404521,323181.6667,323181.6667,280303.3723
SC_WLL_p3,12,2,0,367365,367365,0
