filename,nwords,cl_av_deps,cl_ndeps_std_dev,acad_av_construction_freq,acad_av_construction_freq_type,acad_av_construction_freq_stdev
txt00031.txt,9,4,0,0,0,0
txt00032.txt,7,3,0,34154,34154,0
txt00033.txt,8,2,0,233414,233414,0
txt00034.txt,7,0,0,0,0,0
txt00035.txt,4,2,0,367365,367365,0
txt00036.txt,4,0,0,0,0,0
txt00037.txt,8,3,0,14899,14899,0
txt00038.txt,5,2,0,233414,233414,0
txt00039.txt,6,2,0,284344,284344,0
txt00040.txt,11,2.5,0.5,117050.5,117050.5,116363.5
txt00041.txt,12,1.666666667,0.471404521,428342.6667,428342.6667,189035.7218
txt00042.txt,13,2,0,258879,258879,25465
txt00043.txt,9,2,0,233414,233414,0
txt00044.txt,10,1,0,684249,684249,0
txt00045.txt,6,2,0,284344,284344,0
txt00046.txt,8,3,0,5240,5240,0
txt00047.txt,8,2,0,116900.5,116900.5,116513.5
txt00048.txt,5,2,0,284344,284344,0
txt00049.txt,12,2.5,0.5,147649.5,147649.5,136694.5
txt00050.txt,5,2,0,367365,367365,0
txt00051.txt,6,1.5,0.5,345843,345843,338406
txt00052.txt,10,2,0,685,685,647
txt00053.txt,14,2,0,207586.6667,207586.6667,142180.2031
txt00054.txt,13,2.5,0.5,116852,116852,116562
txt00055.txt,8,2,0,233414,233414,0
txt00056.txt,5,2,0,367365,367365,0
txt00057.txt,6,2,0,284344,284344,0
txt00058.txt,10,2,0,233414,233414,0
txt00059.txt,4,0,0,0,0,0
txt00060.txt,10,2,0,123986.5,123986.5,109427.5
txt00061.txt,5,2,0,233414,233414,0
txt00062.txt,6,0,0,0,0,0
txt00063.txt,4,2,0,284344,284344,0
txt00160.txt,55,2.272727273,0.616575453,177442.9091,177442.9091,206553.9836
txt00161.txt,19,2,0,325854.5,325854.5,41510.5
txt00162.txt,42,2,1,337432.3333,337432.3333,279597.3634
txt00164.txt,51,2.25,1.233220716,25615.45455,25615.45455,32337.20129
txt00165.txt,19,3.25,1.089724736,23952.5,23952.5,10201.5
txt00166.txt,21,3,1.224744871,10244,10244,14056.83314
txt00168.txt,6,2,0,367365,367365,0
txt00169.txt,15,2.5,0.5,200494.5,200494.5,166870.5
txt00170.txt,10,2.5,0.5,200494.5,200494.5,166870.5
txt00246.txt,19,2.2,1.6,177680,177680,292519.0058
txt00247.txt,10,2,1,45648.5,45648.5,45289.5
txt00248.txt,25,3,0,33605.33333,33605.33333,12489.13868
txt00250.txt,42,1.75,0.433012702,19685.25,19685.25,16274.90501
txt00251.txt,23,2.2,1.720465053,36946.75,36946.75,42050.21258
