SC_BGT_Plvl,nwords,cl_av_deps,cl_ndeps_std_dev,acad_av_construction_freq,acad_av_construction_freq_type,acad_av_construction_freq_stdev
SC_BGT_p3,139,2.730769231,0.901182655,76156.92,76156.92,142350.6962
SC_BGT_p3,139,2.62962963,0.867014808,84331.88462,76331.4,145131.7739
SC_BGT_p3,141,2.62962963,0.867014808,73672.73077,73672.73077,140150.2906
SC_BGT_p3,138,2.62962963,0.867014808,81020.73077,72887.8,146031.4041
SC_BGT_p3,81,2.388888889,0.890623308,197730.9444,204327.2353,250975.0896
SC_BGT_p3,98,2.642857143,0.717848259,58897.5,61345.08333,94183.89934
SC_BGT_p3,92,2.363636364,0.710022698,114624.4091,117472.4444,192140.3526
SC_BGT_p3,141,2.740740741,0.842948643,52542.8,54140.66667,69860.32847
SC_BGT_p3,139,2.703703704,0.895040442,76326.28,78915.125,142286.9171
SC_BGT_p3,65,2.416666667,0.953793595,192458.5,209769.3636,290796.448
SC_BGT_p3,141,2.62962963,0.867014808,84331.88462,76331.4,145131.7739
SC_BGT_p3,138,2.62962963,0.867014808,81303.53846,73181.92,145887.1714
SC_BGT_p3,116,2.428571429,1.217782081,141923.8947,141923.8947,240830.4547
SC_BGT_p3,140,2.62962963,0.908729196,86129.64,77870.70833,147362.9673
SC_BGT_p3,139,2.571428571,0.942207568,105687.0769,98540.8,185907.8689
SC_BGT_p3,141,2.666666667,0.816496581,60769.04,51453.41667,82982.72412
SC_BGT_p3,138,2.666666667,0.816496581,57619.56,48172.70833,83462.31462
SC_BGT_p3,81,2.684210526,0.653140718,75640.22222,69800.125,93821.85396
SC_BGT_p3,141,2.62962963,0.867014808,84331.88462,76331.4,145131.7739
SC_BGT_p3,143,2.5,0.944911183,75865.51852,75063.56,136903.2893
SC_BGT_p3,6,1.5,0.5,385069.5,385069.5,299179.5
SC_BGT_p3,7,1.5,0.5,385069.5,385069.5,299179.5
SC_BGT_p3,6,1.5,0.5,56318.5,56318.5,29571.5
SC_BGT_p3,7,1.5,0.5,385069.5,385069.5,299179.5
SC_BGT_p3,10,2,0,48296,48296,37594
SC_BGT_p3,7,1.5,0.5,385069.5,385069.5,299179.5
SC_BGT_p3,7,1.5,0.5,385069.5,385069.5,299179.5
SC_BGT_p3,7,1.5,0.5,385069.5,385069.5,299179.5
SC_BGT_p3,7,1.5,0.5,385069.5,385069.5,299179.5
SC_BGT_p3,6,1.5,0.5,385069.5,385069.5,299179.5
SC_BGT_p3,6,1.5,0.5,385069.5,385069.5,299179.5
SC_BGT_p3,7,1.5,0.5,385069.5,385069.5,299179.5
SC_BGT_p3,8,1.5,0.5,55790.5,55790.5,30099.5
SC_BGT_p3,12,2.333333333,0.471404521,61892.66667,61892.66667,33728.26713
SC_BGT_p3,6,1.5,0.5,385069.5,385069.5,299179.5
SC_BGT_p3,7,1.5,0.5,342293.5,342293.5,341955.5
SC_BGT_p3,6,1.5,0.5,385069.5,385069.5,299179.5
SC_BGT_p3,7,1.5,0.5,385069.5,385069.5,299179.5
SC_BGT_p3,6,1.5,0.5,342293.5,342293.5,341955.5
SC_BGT_p3,93,2.611111111,0.825892708,140038.1176,151683.5714,215551.4524
SC_BGT_p3,6,1.5,0.5,385069.5,385069.5,299179.5
SC_BGT_p3,6,1.5,0.5,385069.5,385069.5,299179.5
SC_BGT_p3,67,2,0.554700196,154200.2308,159892.75,234122.2675
SC_BGT_p3,106,2.12,0.815843122,114742.76,98342.95238,215541.4764
SC_BGT_p3,126,2.947368421,1.431733738,167692,167692,231526.6796
SC_BGT_p3,36,2.5,0.5,133609.5,133609.5,126615.6862
SC_BGT_p3,39,3,0.534522484,19811.85714,19811.85714,30411.126
SC_BGT_p3,95,2.692307692,0.991084517,78268.23077,84630.83333,178288.1663
SC_BGT_p3,94,3.25,1.16368667,54784.09091,59520,103509.5597
SC_BGT_p3,110,2.764705882,1.00172861,51829.4375,51829.4375,87282.08329
SC_BGT_p3,107,3,1.322875656,38836.64286,38836.64286,64931.09562
SC_BGT_p3,109,2.611111111,1.061387399,184967.2941,184967.2941,248890.1187
SC_BGT_p3,88,2.941176471,1.304769001,179453.4667,175599.1429,263446.7396
SC_BGT_p3,115,2.722222222,0.869581991,127999.8235,105411.0714,180312.1017
SC_BGT_p3,82,2.636363636,1.149919149,187832,125779.875,268600.5328
SC_BGT_p3,122,2.454545455,1.233150906,144083.65,136701.5263,219652.1983
SC_BGT_p3,87,2.857142857,1.245399698,96393.91667,97348.81818,127672.6166
SC_BGT_p3,115,2.5,1.46628783,214936.4118,214936.4118,276326.6865
SC_BGT_p3,103,2.857142857,1.186660552,103003.2308,92135.66667,185817.3984
SC_BGT_p3,105,2.45,1.24398553,178947.9444,149224.3529,275202.1082
SC_BGT_p3,183,2.068965517,0.784814254,152288.7143,149284.0741,195224.0644
SC_BGT_p3,186,2.275862069,1.0470501,207558.3214,184385.04,233423.0017
SC_BGT_p3,158,2.761904762,1.230747427,52526.21053,52526.21053,150841.991
SC_BGT_p3,117,2.954545455,1.106890515,82188.57143,81798.94737,197470.3732
SC_BGT_p3,116,2.631578947,1.08630355,169130.5263,140512.8333,271665.2184
SC_BGT_p3,71,2,0.654653671,95438.61538,104568.8,174580.5638
SC_BGT_p3,72,2.357142857,0.894997435,65034.76923,66918.25,113566.0314
SC_BGT_p3,130,2.363636364,1.149919149,192898.2727,201800.2381,281465.8814
SC_BGT_p3,94,2.9375,1.143937826,111463.6,111463.6,226486.6818
SC_BGT_p3,161,2.413793103,1.034482759,119894.3571,123817.4074,213127.303
SC_BGT_p3,92,2.315789474,0.976170368,56271.22222,54528.94118,82817.40513
SC_BGT_p3,124,2.36,1.162067124,83725.90476,91356.11111,148512.9926
SC_BGT_p3,116,2.388888889,1.379971372,256378.5333,249137.4167,303983.2392
SC_BGT_p3,146,2.392857143,1.046739349,67734.92308,54291.72727,83813.65538
SC_BGT_p3,118,1.814814815,0.721984766,109208.4815,122324.4737,176816.6713
SC_BGT_p3,80,2.4,0.711805217,76039.53333,76039.53333,105318.824
SC_BGT_p3,8,1.5,0.5,385069.5,385069.5,299179.5
SC_BGT_p3,18,2.25,0.829156198,183358.75,183358.75,289657.566
SC_BGT_p3,34,2.5,1,119013.625,144301.5,214939.9539
SC_BGT_p3,30,2.666666667,0.471404521,47757.33333,47757.33333,38248.91475
SC_BGT_p3,33,2.714285714,0.699854212,117191.8571,183349.5,232278.9085
SC_BGT_p3,7,1.5,0.5,342293.5,342293.5,341955.5
SC_BGT_p3,109,2.823529412,0.922611008,49326.13333,49326.13333,90885.83271
SC_BGT_p3,226,2.970588235,1.316977246,71316.53333,72400.31034,151998.8389
SC_BGT_p3,50,2,0.666666667,260674.75,260674.75,271607.7991
SC_BGT_p3,70,2.384615385,0.835598499,80685.90909,80685.90909,102482.8362
SC_BGT_p3,44,2.75,0.661437828,17377.14286,17377.14286,28135.00782
SC_BGT_p3,44,2.571428571,1.049781318,107763.8,107763.8,136897.3904
SC_BGT_p3,46,2.555555556,0.955813919,150383.625,150383.625,233941.1714
SC_BGT_p3,28,2.4,0.8,76185.2,76185.2,108912.6393
SC_BGT_p3,32,1.75,0.433012702,124035.375,124035.375,214543.3626
SC_BGT_p3,33,1.714285714,0.451753951,285320.4286,285320.4286,273506.6578
SC_BGT_p3,161,2.259259259,1.074712454,167878,165028.6087,220554.3192
SC_BGT_p3,194,2.5625,1.028879852,95460.82143,80931.34615,156738.4271
SC_BGT_p3,76,2.615384615,0.923076923,83757.41667,83757.41667,183450.1295
SC_BGT_p3,86,2.263157895,1.017846295,149829.6111,149829.6111,253092.7365
SC_BGT_p3,153,2.482758621,0.932948225,136040.037,95380.58333,247012.1168
SC_BGT_p3,45,2.375,1.111024302,82237.85714,82237.85714,119040.5532
SC_BGT_p3,97,3.416666667,1.320248293,85627.4,85627.4,201024.7865
SC_BGT_p3,59,2.222222222,1.030402055,109182.4444,112094,205317.6737
SC_BGT_p3,63,2.461538462,0.929465075,106717.3846,116817.5455,191808.632
SC_BGT_p3,90,2.388888889,1.061387399,152765.5625,165372.0714,216987.9724
SC_BGT_p3,101,3,1.169795304,110958,112748.5714,226616.1819
SC_BGT_p3,27,3,1.414213562,358807.6667,358807.6667,269283.2454
SC_BGT_p3,180,2.85,1.492481156,140408.9412,129093.5,223609.9107
SC_BGT_p3,78,3.090909091,1.504813214,80958,80958,203426.7439
SC_BGT_p3,143,2,0.5,208543.4167,210744.9333,202963.3093
SC_BGT_p3,320,2.541666667,1.153948535,135361,93476.72222,224881.464
SC_BGT_p3,131,2.724137931,1.361959838,100136.2609,94078.18182,191101.4746
SC_BGT_p3,244,2.547619048,1.138135086,92983.23529,87184.42424,165965.5809
SC_BGT_p3,66,1.916666667,0.759202798,154104.2,154104.2,266365.5266
SC_BGT_p3,237,2.255813953,1.036385114,208673.8095,132059.5,268770.915
SC_BGT_p3,86,2.416666667,0.862006703,95776.83333,95776.83333,204020.0155
SC_BGT_p3,87,2.0625,0.747391296,123734.75,125921.2,171412.2584
SC_BGT_p3,85,2.714285714,1.27775313,102800.5833,102800.5833,119616.0332
SC_BGT_p3,98,2.166666667,0.687184271,28175.125,28175.125,37840.44534
SC_BGT_p3,47,2,0.816496581,134536.6667,134536.6667,140566.1292
SC_BGT_p3,90,2.9,0.943398113,155816.2857,114591.2,121384.5134
