filename,nwords,cl_av_deps,cl_ndeps_std_dev,acad_av_construction_freq,acad_av_construction_freq_type,acad_av_construction_freq_stdev
BGT_p3_00186.txt,64,2.583333333,0.862006703,173654.9091,167679,206437.1176
BGT_p3_00801.txt,366,2.586956522,1.226094665,165599.6667,153554.641,252336.4155
BGT_p3_00832.txt,180,2.65625,1.07846462,122275.5,110699.1786,187204.175
BGT_p3_00852.txt,197,2.615384615,1.076923077,140026.5217,126282,192150.5985
BGT_p3_00875.txt,132,2.636363636,1.188790621,107165,79684.80952,204842.6441
BGT_p3_00884.txt,138,2.95,1.395528574,103620.4706,92325.25,175167.5973
BGT_p3_01030.txt,133,2.65,1.061838029,104269.8947,83084.70588,169263.7552
BGT_p3_01053.txt,70,2.818181818,0.935966376,89523.77778,89523.77778,121344.5226
BGT_p3_01086.txt,145,2.583333333,1.114924013,108048.4167,82996.21739,198955.5508
BGT_p3_01088.txt,272,2.266666667,1.083205121,157958.5526,160618.8286,243777.3647
BGT_p3_01143.txt,202,2.741935484,1.190493038,144521.2143,118384.6538,217883.0092
BGT_p3_01157.txt,219,2.833333333,1.067187373,136150.6154,110296.7619,169730.0079
BGT_p3_01161.txt,73,2.5,1.118033989,179823.4545,179823.4545,250733.8692
BGT_p3_01394.txt,625,2.552380952,1.137925869,141222.2065,118693.2987,231519.5874
BGT_p3_01423.txt,540,2.349056604,0.990925362,142420.7172,125459.961,226447.9971
BGT_p3_01577.txt,159,2.64,1.091054536,138839.0909,128548.7059,201276.001
BGT_p3_02431.txt,67,1.928571429,0.798595706,137711.3333,148075.6,189541.9018
BGT_p3_02432.txt,78,2.636363636,1.149919149,189406.6,184516.8889,210148.2443
BGT_p3_02434.txt,215,2.8,1.036477551,42863.87879,42727.3871,121270.9555
BGT_p3_02442.txt,212,2.444444444,0.7617394,68639.27273,59190.42857,136758.9013
BGT_p3_02449.txt,106,2.047619048,0.652919486,190875.0476,194161.6842,232419.4511
BGT_p3_02454.txt,76,2.733333333,1.123486636,80944.28571,80120,100408.6655
BGT_p3_02455.txt,123,2.260869565,0.845314004,87912.56522,87912.56522,163395.3926
BGT_p3_02535.txt,57,2.428571429,0.728431359,61361.14286,61361.14286,91682.97414
BGT_p3_02536.txt,97,2.764705882,0.54550697,86123.76471,91719.53333,172197.5307
BGT_p3_02537.txt,52,2.5,0.763762616,83771.75,83606.09091,183609.0919
BGT_p3_02538.txt,86,3.142857143,1.186660552,99515.38462,99515.38462,180024.2065
BGT_p3_02539.txt,65,2.4,0.8,138316,148050.0714,231718.0336
BGT_p3_02540.txt,69,2.294117647,0.748701298,128671.6471,140027.9333,220087.3402
BGT_p3_02562.txt,66,2.714285714,0.795394909,71670.14286,70599.07692,172504.5008
BGT_p3_02564.txt,72,2.4,0.8,92218.73333,92691.92857,181862.6266
BGT_p3_02575.txt,102,2.333333333,0.56343617,78395.95238,63947.5,122516.3942
BGT_p3_02576.txt,130,2.444444444,1.257078722,133813.7083,83774.13636,219244.5883
BGT_p3_02577.txt,92,2.476190476,0.793968191,89214.2381,89380.45,158646.554
BGT_p3_02578.txt,64,2.5,0.731925055,81879.14286,81570.61538,171727.1256
BGT_p3_02583.txt,70,2.5,0.626783171,89036.42857,89036.42857,189379.4798
BGT_p3_02687.txt,244,2.636363636,1.207757296,104016.1795,104016.1795,202688.2282
BGT_p3_02958.txt,54,2.5,0.921954446,190784.4444,179089.5,222288.047
BGT_p3_02962.txt,99,2.444444444,0.955813919,165497.7778,165497.7778,228723.2245
BGT_p3_03027.txt,102,2.5,0.941468872,133053.0526,134107.7059,166000.7004
BGT_p3_03028.txt,153,2.615384615,1.040596097,140427.0833,140427.0833,206484.8329
BGT_p3_03045.txt,167,2.846153846,1.098681297,63868.375,46957.65,97174.00422
BGT_p3_03115.txt,96,3.142857143,0.832993128,26987.69231,26987.69231,40799.01669
BGT_p3_03441.txt,246,2.58974359,0.925921543,158584.1944,140835.7419,219702.1551
BGT_p3_03466.txt,310,2.418604651,0.970076912,180464.35,163240.8235,228945.2153
BGT_p3_03486.txt,238,2.666666667,0.97752522,111751.6923,101716.5909,164252.9456
BGT_p3_03522.txt,238,2.696969697,1.266942119,141581.4,122868.7241,229673.2142
BGT_p3_03577.txt,151,2.55,0.920597632,66365,49642.77778,109143.4566
BGT_p3_04393.txt,132,2.619047619,0.949997016,130018.5263,118670.1765,176865.248
BGT_p3_04495.txt,162,2.461538462,1.247482672,133210.56,121622.0909,192724.3131
BGT_p3_04570.txt,88,2.4375,0.788095013,102083.8125,102083.8125,220993.911
BGT_p3_04806.txt,95,2.333333333,0.992031746,62208.85,62208.85,94111.75123
BGT_p3_04830.txt,91,2.3125,1.157516199,142224.8125,132750.2,223681.2209
BGT_p3_05038.txt,95,2.666666667,0.596284794,71844.06667,71844.06667,82999.34774
BGT_p3_05139.txt,115,2.454545455,1.339174533,177140.3684,177140.3684,267189.6311
BGT_p3_05227.txt,209,2.303030303,0.797148269,132319.6667,103432.88,171071.5686
