"COLLEX","O.CXN1","E.CXN1","O.CXN2","E.CXN2","ASSOC","COLL.STR.LOGL","SIGNIF","SHARED"
"take",65,26.8,80,118.2,"GOING_TO",57.40091,"*****","Y"
"leave",17,3.9,4,17.1,"GOING_TO",39.07887,"*****","Y"
"continue",17,5,10,22,"GOING_TO",26.30616,"*****","Y"
"study",24,9.4,27,41.6,"GOING_TO",22.16965,"*****","Y"
"visit",17,6.8,20,30.2,"GOING_TO",14.81893,"***","Y"
"compare",3,0.7,1,3.3,"GOING_TO",6.05004,"*","Y"
"live",7,3.1,10,13.9,"GOING_TO",4.72472,"*","Y"
"buy",17,10.5,40,46.5,"GOING_TO",4.39641,"*","Y"
"find",2,6.3,32,27.7,"WILL",4.68471,"*","Y"
"see",5,13.9,70,61.1,"WILL",9.01554,"**","Y"
"help",3,12.4,64,54.6,"WILL",12.07858,"***","Y"
"give",1,9.3,49,40.7,"WILL",13.82499,"***","Y"
"be",29,84.4,427,371.6,"WILL",67.67345,"*****","Y"
